Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Engagement_Score,Contactability_Score,Lead_Score
1,1,0,0,1,2.0,1532,2.0,5,12,2,7,4,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,20.0,0,1,4,3064.0,1,0.9561401899110865
1,3,0,0,1,2.0,1428,1.0,1,12,16,5,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,0,8,2856.0,1,0.9463352863956745
1,3,0,0,1,2.0,1640,2.0,5,12,18,4,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,8,3280.0,1,0.9627160214178945
1,7,0,0,1,8.0,1351,8.0,5,12,19,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,14.0,0,1,4,10808.0,1,0.9577906599752443
0,7,0,0,1,11.0,1538,11.0,5,12,11,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,16.0,0,0,8,16918.0,1,0.9261088264923992
0,7,0,0,1,6.0,1012,6.0,5,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,15.0,0,0,4,6072.0,1,0.9582833727982802
1,3,0,0,1,1.0,1013,1.0,1,12,1,1,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,20.0,0,0,8,1013.0,1,0.9340643862720808
0,3,0,0,1,6.0,1137,1.5,5,12,11,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,18.0,0,1,4,6822.0,1,0.9737635304539151
1,7,0,0,1,4.0,1000,2.0,5,12,5,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,3,1,11.0,18.0,0,1,4,4000.0,1,0.8418489178116683
1,3,0,0,1,6.0,1315,6.0,5,12,12,4,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,19.0,0,0,4,7890.0,1,0.9758873567179603
0,3,0,0,1,3.0,78,3.0,14,12,10,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,1,1,16.0,18.0,0,0,13,234.0,1,0.9136280947792997
1,1,0,0,1,7.0,1174,3.5,5,12,8,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,1,4,8218.0,1,0.9699628061083854
1,7,0,0,1,4.0,16,2.0,10,12,4,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,17.0,0,1,8,64.0,1,0.8508208037940901
0,11,0,0,1,3.0,98,3.0,5,12,8,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,2,14.0,15.0,0,0,8,294.0,1,0.8709843807473194
1,3,0,0,1,5.0,563,5.0,5,12,5,9,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,13.0,20.0,0,0,4,2815.0,1,0.8589701310919645
1,3,0,0,1,4.0,25,4.0,5,12,13,2,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,19.0,0,0,4,100.0,1,0.8595297291757744
0,6,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,15.0,16.0,0,0,8,0.0,1,0.8429786546525361
0,11,0,0,1,8.0,903,8.0,10,12,5,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,1,2,16.0,15.0,0,0,10,7224.0,1,0.9663245150357094
0,7,0,0,1,7.0,1468,3.5,10,12,11,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,18.0,0,0,8,10276.0,1,0.9653882985001713
1,1,0,0,1,4.0,1435,4.0,5,12,13,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,3,1,12.0,18.0,0,1,4,5740.0,1,0.9393658528204258
1,3,0,0,1,1.0,157,1.0,1,12,7,10,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,14.0,0,0,8,157.0,1,0.7870246355647282
0,3,0,0,1,3.0,885,1.5,8,12,13,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,18.0,0,0,7,2655.0,1,0.973320875510397
0,6,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,15.0,16.0,0,0,8,0.0,1,0.8429786546525361
1,3,0,0,1,6.0,595,3.0,5,12,1,10,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,4,3570.0,1,0.9438929136572999
2,15,0,0,1,3.0,1096,2.0,13,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,14.0,15.0,0,0,8,3288.0,1,0.9490972643664121
2,10,0,0,1,3.0,705,2.0,13,36,7,7,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,14.0,16.0,0,0,8,2115.0,1,0.9302250567003695
0,6,0,0,1,0.0,0,0.0,3,36,13,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,16.0,0,0,2,0.0,1,0.919532319096453
1,3,0,0,1,3.0,1136,3.0,10,12,9,5,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,15.0,0,0,8,3408.0,1,0.9552391176439113
2,10,0,0,1,3.0,1007,2.0,13,36,8,7,5,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,20.0,0,0,8,3021.0,1,0.9617797803588091
0,3,0,0,1,5.0,1110,5.0,9,12,8,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,16.0,0,0,8,5550.0,1,0.9783273139246491
1,1,0,0,1,5.0,1563,5.0,5,12,5,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,20.0,0,1,4,7815.0,1,0.9743567919369569
1,7,0,0,1,6.0,895,6.0,5,12,13,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,18.0,0,1,4,5370.0,1,0.9479703589938804
1,3,0,0,1,4.0,1190,4.0,5,12,8,3,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,13.0,18.0,0,0,4,4760.0,1,0.9252402437838175
2,10,0,0,1,0.0,0,0.0,3,36,2,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,19.0,0,0,2,0.0,1,0.9815357637297458
0,3,0,0,1,5.0,727,5.0,5,12,16,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,2,14.0,15.0,0,0,4,3635.0,1,0.9628729278622334
2,10,0,0,1,3.0,1111,2.0,13,36,11,7,6,1,0,0,0,0,0,0,0,0,3,1,0,0,2,1,14.0,18.0,0,0,8,3333.0,1,0.9570265613853628
2,10,0,0,1,0.0,0,0.0,5,36,11,7,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,15.0,19.0,0,0,8,0.0,1,0.9401039503990036
2,10,0,0,1,3.0,986,2.0,13,36,11,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,19.0,0,0,8,2958.0,1,0.9820372524481575
2,15,0,0,1,3.0,889,2.0,13,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,14.0,15.0,0,0,8,2667.0,1,0.9152576592334062
1,3,0,0,1,5.0,1091,5.0,14,12,5,4,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,13.0,20.0,0,0,13,5455.0,1,0.9544823244441726
2,10,0,0,1,0.0,0,0.0,5,36,7,7,5,1,0,0,0,0,0,0,0,0,3,0,0,0,2,2,15.0,16.0,0,0,8,0.0,1,0.9386688897276114
1,3,0,0,1,5.0,1603,5.0,5,12,13,4,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,20.0,0,0,4,8015.0,1,0.9752692291155388
1,7,0,0,1,5.0,614,5.0,14,12,5,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,19.0,0,1,13,3070.0,1,0.9553844617794778
1,1,0,0,1,3.0,1010,3.0,5,12,18,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,16.0,0,1,4,3030.0,1,0.9676667714594547
0,6,0,0,1,10.0,1815,3.33,8,12,13,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,17.0,0,1,7,18150.0,1,0.9660718042897075
1,1,0,0,1,3.0,1528,1.5,5,12,13,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,16.0,0,1,8,4584.0,1,0.9488857291051473
1,3,0,0,1,6.0,919,6.0,5,12,5,4,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,20.0,0,0,4,5514.0,1,0.9760041928939427
2,10,0,0,1,0.0,0,0.0,5,36,5,7,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,4,0.0,1,0.9667049923933139
2,15,0,0,1,3.0,1240,2.0,13,36,16,7,5,1,0,0,0,0,0,0,0,0,3,1,0,0,2,1,14.0,18.0,0,0,8,3720.0,1,0.946741741039336
2,10,0,0,1,0.0,0,0.0,5,36,1,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,19.0,0,0,4,0.0,1,0.9628910187383558
2,15,0,0,1,3.0,1060,2.0,13,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,14.0,15.0,0,0,8,3180.0,1,0.9357639310330788
0,7,0,0,1,8.0,877,2.67,3,12,1,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,16.0,0,0,2,7016.0,1,0.9658422446791729
2,10,0,0,1,0.0,0,0.0,14,36,14,7,5,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,20.0,0,0,8,0.0,1,0.9055437682129848
1,7,0,0,1,12.0,1411,6.0,5,12,5,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,16.0,0,1,4,16932.0,1,0.9375087103024841
0,7,0,0,1,6.0,385,6.0,1,12,16,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,15.0,16.0,0,0,8,2310.0,1,0.8668798184510668
2,10,0,0,1,3.0,785,2.0,0,36,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,17.0,0,0,8,2355.0,1,0.9250179018369765
0,7,0,0,1,5.0,1234,1.67,5,12,10,7,4,1,0,0,0,0,0,0,0,0,20,1,0,0,1,1,16.0,17.0,0,0,4,6170.0,1,0.9562526713333154
2,10,0,0,1,0.0,0,0.0,5,36,5,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,19.0,0,0,4,0.0,1,0.9588410577663291
1,1,0,0,1,1.0,1106,1.0,1,12,5,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,16.0,0,1,8,1106.0,1,0.9460522045723657
1,1,0,0,1,9.0,1953,1.8,5,12,18,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,17.0,0,0,8,17577.0,1,0.9595648694907879
2,10,0,0,1,3.0,1070,2.0,13,36,11,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,18.0,0,0,8,3210.0,1,0.9533204272914939
2,10,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,0,4,0.0,1,0.9049021100340481
1,1,0,0,1,2.0,1587,2.0,5,12,4,3,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,13.0,0,0,4,3174.0,1,0.9633828272386152
0,7,0,0,1,3.0,1407,1.5,1,12,8,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,8,4221.0,1,0.9675910842018759
2,10,0,0,1,0.0,0,0.0,5,36,5,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,15.0,18.0,0,0,8,0.0,1,0.9756805896393346
1,1,0,0,1,9.0,1164,4.5,5,12,6,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,15.0,0,1,4,10476.0,1,0.9624241550558029
1,1,0,0,1,1.0,1362,1.0,14,12,15,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,14.0,0,0,8,1362.0,1,0.9041861845801711
1,7,0,0,0,6.0,135,6.0,5,12,18,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,18.0,0,1,4,810.0,1,0.7786522949845004
1,1,0,0,1,7.0,116,7.0,5,12,8,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,18.0,0,1,4,812.0,1,0.866936469970816
0,7,0,0,1,3.0,195,3.0,1,12,13,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,8,585.0,1,0.8507641415486485
1,3,0,0,1,3.0,732,3.0,5,12,13,4,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,0,4,2196.0,1,0.9813121959766562
0,1,0,0,1,5.0,1837,2.5,5,12,5,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,17.0,0,0,4,9185.0,1,0.9636139150212518
1,1,0,0,1,1.0,891,1.0,1,36,13,7,4,1,0,0,0,0,0,0,0,0,11,1,0,0,2,1,15.0,19.0,0,1,8,891.0,1,0.7300981712311583
2,15,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,3,4,0,0,2,2,15.0,15.0,0,0,8,0.0,1,0.9046037129956584
2,15,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,14.0,15.0,0,0,4,0.0,1,0.9103066697630736
0,11,0,0,1,11.0,825,11.0,9,12,5,7,6,1,0,0,0,0,0,0,0,0,20,1,0,0,1,2,17.0,15.0,0,0,8,9075.0,1,0.9536372504312081
2,10,0,0,1,3.0,1704,2.0,13,36,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,0,8,5112.0,1,0.9630272944514071
2,10,0,0,1,3.0,1262,2.0,13,36,13,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,19.0,0,0,8,3786.0,1,0.9773314393531412
2,10,0,0,1,0.0,0,0.0,5,36,1,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,19.0,0,0,4,0.0,1,0.9628910187383558
1,3,0,0,1,4.0,228,4.0,5,12,1,10,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,19.0,0,0,4,912.0,1,0.8645194431358957
1,7,0,0,1,4.0,31,1.33,5,12,13,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,1,4,124.0,1,0.9043178511605968
2,10,0,0,1,3.0,803,2.0,13,36,8,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,8,2409.0,1,0.962760453585793
0,3,1,0,1,7.0,1281,1.75,2,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,1,8967.0,0,0.8750343665549007
0,7,0,0,1,3.0,117,3.0,9,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,8,351.0,1,0.8262171996003667
1,3,0,0,1,5.0,263,2.5,5,12,11,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,1,16.0,18.0,0,0,4,1315.0,1,0.8714713677310256
0,3,0,0,1,10.0,556,5.0,9,12,5,3,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,16.0,0,0,8,5560.0,1,0.9251031788142235
0,11,0,0,1,5.0,1536,5.0,5,12,8,7,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,14.0,15.0,0,0,4,7680.0,1,0.9630653813870634
0,3,0,0,1,4.0,1088,4.0,10,12,18,10,6,1,0,0,0,0,0,0,0,0,20,0,0,0,1,1,16.0,18.0,0,0,8,4352.0,1,0.9667082154876323
1,11,0,0,1,6.0,863,6.0,5,12,13,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,1,1,16.0,17.0,0,1,4,5178.0,1,0.9538705106577317
0,7,0,0,1,7.0,950,2.33,5,12,8,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,16.0,0,0,4,6650.0,1,0.9717545468408756
1,1,0,0,1,7.0,901,7.0,5,12,11,4,5,1,0,0,0,0,0,0,0,0,20,1,0,0,1,1,16.0,20.0,0,0,4,6307.0,1,0.9741847544591735
2,10,0,0,1,0.0,0,0.0,5,36,1,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,20.0,0,0,4,0.0,1,0.9405980369725405
1,7,0,0,1,21.0,1113,2.63,5,12,13,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,18.0,0,1,4,23373.0,1,0.9604025700447054
2,10,0,0,1,3.0,43,2.0,13,36,12,7,5,1,0,0,0,0,0,0,0,0,20,4,0,0,2,1,14.0,19.0,0,0,8,129.0,1,0.7087395914958777
2,3,0,0,1,0.0,0,0.0,5,36,18,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,18.0,0,0,4,0.0,1,0.9180877697895986
